Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RV1,R_Potentiometer,Potentiometer_Bourns_PTA6043_Single_Slide,-85.52,14.75,0,top
RV2,R_Potentiometer,Potentiometer_Bourns_PTA6043_Single_Slide,-85.52,-1.25,0,top
RV3,R_Potentiometer,Potentiometer_Bourns_PTA6043_Single_Slide,-167.52,14.75,0,top
RV4,R_Potentiometer,Potentiometer_Bourns_PTA6043_Single_Slide,-167.52,-1.25,0,top
SW1,SW_Push,SW_Cherry_MX_1.00u_PCB,-157.46,-24.92,0,top
SW2,SW_Push,SW_Cherry_MX_1.00u_PCB,-157.54,-44.92,0,top
SW3,SW_Push,SW_Cherry_MX_1.00u_PCB,-157.46,-64.92,0,top
SW4,SW_Push,SW_Cherry_MX_1.00u_PCB,-157.46,-84.92,0,top
SW5,SW_Push,SW_Cherry_MX_1.00u_PCB,-157.46,-104.92,0,top
SW6,SW_Push,SW_Cherry_MX_1.00u_PCB,-157.46,-124.92,0,top
SW7,SW_Push,SW_Cherry_MX_1.00u_PCB,-157.46,-144.92,0,top
SW8,SW_Push,SW_Cherry_MX_1.00u_PCB,-157.46,-164.92,0,top
SW9,SW_Push,SW_Cherry_MX_1.00u_PCB,-137.46,-24.92,0,top
SW10,SW_Push,SW_Cherry_MX_1.00u_PCB,-137.46,-44.92,0,top
SW11,SW_Push,SW_Cherry_MX_1.00u_PCB,-137.46,-64.92,0,top
SW12,SW_Push,SW_Cherry_MX_1.00u_PCB,-137.46,-84.92,0,top
SW13,SW_Push,SW_Cherry_MX_1.00u_PCB,-137.46,-104.92,0,top
SW14,SW_Push,SW_Cherry_MX_1.00u_PCB,-137.46,-124.92,0,top
SW15,SW_Push,SW_Cherry_MX_1.00u_PCB,-137.46,-144.92,0,top
SW16,SW_Push,SW_Cherry_MX_1.00u_PCB,-137.46,-164.92,0,top
SW17,SW_Push,SW_Cherry_MX_1.00u_PCB,-117.46,-24.92,0,top
SW18,SW_Push,SW_Cherry_MX_1.00u_PCB,-117.65,-44.92,0,top
SW19,SW_Push,SW_Cherry_MX_1.00u_PCB,-117.46,-64.92,0,top
SW20,SW_Push,SW_Cherry_MX_1.00u_PCB,-117.46,-84.92,0,top
SW21,SW_Push,SW_Cherry_MX_1.00u_PCB,-117.46,-104.92,0,top
SW22,SW_Push,SW_Cherry_MX_1.00u_PCB,-117.46,-124.92,0,top
SW23,SW_Push,SW_Cherry_MX_1.00u_PCB,-117.46,-144.92,0,top
